v	mu	x	xc	px	px_acc
2.1641	4.40914	1948	323	0.00020298	0.00020298
0.195805	-3.60695	357	86	6.53678E-29	6.53678E-29
0.0502184	1.30129	105	47	0.00974048	0.00974048
0.0827017	-1.12745	18	3	7.25244E-07	7.25244E-07
1.26467	-0.847511	4	25	0.0636716	0.0636716
3.3852	3.23794	19	33	0.00221393	0.00221393
5.66478E-05	-2.86473	13	3	1.54613E-14	1.54613E-14
0.288873	2.35756	151	428	2.38324E-11	2.38324E-11
3.85233	1.96242	91	1238	0.000159018	0.000159018
0.992652	-0.337274	388	286	0.00197163	0.00197163
1.74305	3.34594	297	120	0.000648562	0.000648562
1.02252	3.32238	402	41	0.00632214	0.00632214
3.49124	-0.0326558	185	404	0.00155095	0.00155095
0.502659	2.72549	53	41	8.971E-05	8.971E-05
0.313077	3.36952	34	73	9.06924E-13	9.06924E-13
0.00418147	0.643407	2	84	6.0093E-34	6.0093E-34
3.11229	0.456208	352	65	0.00321546	0.00321546
0.869747	4.1133	6	40	1.31214E-09	1.31214E-09
0.635578	-4.5412	39	117	2.54522E-06	2.54522E-06
1.04572	4.07686	1168	45	0.00655194	0.00655194
2.11553	-1.62753	277	86	0.000660562	0.000660562
0.386392	-0.544148	2	165	2.11468E-06	2.11468E-06
0.116875	-1.55019	7	6	0.00688486	0.00688486
0.0163272	-1.58662	21	1436	1.63713E-36	1.63713E-36
0.602988	0.880673	53	316	3.63977E-05	3.63977E-05
2.09588	4.21691	663	308	7.70841E-05	7.70841E-05
2.20558	0.713536	1968	1691	0.000274901	0.000274901
2.89139	4.22009	132	9	0.0189297	0.0189297
3.9523	1.76307	290	25	0.00814605	0.00814605
1.25502	-4.34594	3	7	0.00621591	0.00621593
0.565643	1.58658	198	82	0.00590812	0.00590812
0.275715	3.40479	647	21	0.0342634	0.0342634
1.2936	-2.34533	101	110	0.00094584	0.00094584
1.69104	-1.1218	35	19	0.0103139	0.0103139
2.08724	-1.17759	3	3	0.123273	0.123273
0.00144178	2.07072	2676	1626	2.36403E-217	2.36403E-217
0.352665	-4.33014	14	326	0.00978517	0.00978517
3.75468	2.84365	83	105	0.00126116	0.00126116
2.53377	-2.91669	210	32	9.91545E-05	9.91545E-05
0.407891	0.25548	546	4091	2.40942E-06	2.40942E-06
0.0345335	2.82091	107	32	1.13254E-08	1.13254E-08
0.176465	0.76878	5	3	0.235071	0.235071
3.30741	-3.64661	9	42	0.0156409	0.0156409
3.40988	0.831101	391	113	0.00239963	0.00239963
0.00012278	4.18931	81	462	0	0
3.08761	-1.85948	13	32	0.0210385	0.0210385
0.294028	-1.19598	27	3	3.65579E-06	3.65579E-06
2.22943	2.6551	54	6	0.0459623	0.0459623
2.01803	0.164256	3	83	0.00541838	0.00541837
2.1127	1.88007	6	107	0.000276002	0.000276002
1.49828	-2.1306	8	30	0.0410421	0.0410421
0.502078	-2.29572	175	587	0.00131007	0.00131007
0.681179	3.72781	20	71	1.32074E-09	1.32074E-09
1.40759	3.25562	26	843	1.86171E-09	1.86171E-09
0.77069	1.51291	1502	916	0.000407799	0.000407799
0.0316318	1.04898	23	208	6.55183E-38	6.55183E-38
0.0549628	-2.88086	134	2	5.98129E-70	5.98129E-70
0.220732	2.08006	1136	1245	3.53907E-08	3.53907E-08
0.097132	-3.08598	37	71	4.79238E-11	4.79238E-11
0.735901	0.481355	6	15	0.0324184	0.0324184
0.696163	-2.95311	5	53	0.0781698	0.0781698
0.362458	2.38587	4	27	9.52822E-09	9.52822E-09
0.466843	2.07491	25	650	1.08691E-14	1.08691E-14
0.28278	0.0320443	453	158	0.00104586	0.00104586
1.81559	1.29989	53	236	0.000805394	0.000805394
0.198664	4.09628	16	21	4.85001E-15	4.85001E-15
2.68006	-4.08605	246	59	1.81042E-05	1.81042E-05
3.40046	-0.674109	1590	1684	0.000250109	0.000250109
1.13038	2.26192	804	17	0.00726917	0.00726916
2.52521	0.415701	30	61	0.00963128	0.00963128
1.72328	-2.22383	358	1814	0.000914918	0.000914918
0.453978	-2.48731	2	9	0.161236	0.161236
3.26693	2.90921	177	517	0.00014833	0.00014833
1.03171	2.06828	1074	4422	1.2754E-06	1.2754E-06
2.24368	-2.83752	863	441	5.88523E-05	5.88523E-05
0.749293	0.0496788	6	269	1.33456E-05	1.33456E-05
3.94077	4.29323	153	1277	7.97449E-06	7.97449E-06
2.24967	-3.67177	1765	143	4.15793E-07	4.15793E-07
2.17149	3.29426	78	29	0.00387097	0.00387097
3.59965	-1.35026	4671	354	7.47716E-05	7.47716E-05
0.246893	1.49513	34	3	0.0758206	0.0758206
1.98203	1.16071	71	43	0.00942665	0.00942665
2.63374	-0.013269	329	523	0.00117013	0.00117013
3.53174	-1.39854	44	321	0.00519745	0.00519745
1.71037	-0.905375	17	7	0.0241966	0.0241966
2.83296	3.40691	93	7	0.032179	0.032179
0.638878	3.6596	1554	773	1.03233E-06	1.03233E-06
2.46113	-1.06483	73	103	0.00533951	0.00533951
0.0360465	-2.09313	9342	2406	2.28077E-74	2.28077E-74
1.3633	2.50082	12	62	8.37948E-05	8.37948E-05
1.20076	-2.88922	387	2384	0.000678765	0.000678765
1.18363	-1.62097	198	1984	0.00166735	0.00166735
2.82687	0.404426	24	22	0.0200094	0.0200094
1.51472	2.43319	81	16	0.0194828	0.0194828
1.88005	1.98897	132	109	0.00207183	0.00207183
1.68969	-2.395	3555	3655	3.24495E-05	3.24495E-05
2.79023	-4.06706	2944	496	1.23028E-06	1.23028E-06
0.696518	-4.43643	18	18	2.69256E-07	2.69256E-07
0.199612	-0.859571	1774	2540	0.000456669	0.000456669
0.567702	-2.59329	842	233	5.73063E-09	5.73063E-09
1.17306	-1.02625	108	1200	0.00164393	0.00164393
1.51093	-1.27431	10	8	0.0353783	0.0353783
1.02223	3.82728	44	22	0.000300587	0.000300587
0.328476	2.14508	3	21	9.007E-08	9.007E-08
0.575798	1.3387	238	212	0.00129568	0.00129568
2.87044	1.75819	204	110	0.0026255	0.0026255
0.215693	2.85811	21	1625	2.43067E-47	2.43067E-47
2.61435	4.11051	1010	238	0.000330408	0.000330408
0.597963	2.61717	11	37	1.5177E-06	1.5177E-06
2.33182	3.38631	320	15	0.0176363	0.0176363
0.632153	-3.46215	5	2	0.000109882	0.000109882
3.26148	-0.00951622	61	35	0.00938969	0.00938969
0.618601	4.14438	853	390	2.16135E-07	2.16135E-07
1.53306	2.34346	91	5	0.0563651	0.0563651
3.35162	3.44845	491	264	0.000385702	0.000385702
0.236191	2.60248	41	17	0.000673559	0.000673559
0.000904382	-2.16938	2	77	0.0078127	0.0078127
3.23392	-3.36656	136	13	0.000126781	0.000126781
3.62859	0.546958	38	103	0.00540364	0.00540364
2.4101	-0.0908991	267	230	0.0020516	0.0020516
0.133188	0.360572	113	130	0.0073704	0.0073704
1.58729	2.52346	1321	1748	3.54425E-05	3.54425E-05
0.510878	3.09808	16	9	0.000977349	0.000977349
2.92594	2.50314	29	479	7.09122E-05	7.09122E-05
1.74546	-1.2693	9	13	0.0439829	0.0439829
2.13083	-0.362917	729	423	0.000841047	0.000841047
0.563115	-0.110634	10	34	0.0240815	0.0240815
2.02912	3.8364	132	136	0.000107561	0.000107561
2.68647	3.5914	234	1245	7.16711E-06	7.16711E-06
0.00361534	-0.435595	5	170	9.93468E-28	9.93468E-28
0.175488	0.467407	56	97	0.00193091	0.00193091
1.8766	-2.83457	96	384	0.00217581	0.00217581
0.036637	0.977796	153	16	1.10983E-05	1.10983E-05
0.819348	-3.47504	4024	122	6.37349E-16	6.37095E-16
1.26361	2.22508	1074	254	0.0013552	0.0013552
0.699013	3.45507	5853	141	0.00325704	0.00326889
0.882991	-2.66696	505	123	3.78315E-07	3.78315E-07
1.44333	-4.55489	3	9	0.00771733	0.00771738
3.38308	-1.93978	283	487	0.000908133	0.000908133
1.27048	1.55653	159	135	0.00226676	0.00226676
0.0171132	-3.5667	43	1026	0.00816992	0.00816981
0.0725491	-2.24699	125	6892	4.00632E-11	4.16649E-11
0.730598	-2.79411	2695	1539	2.17697E-07	2.17697E-07
2.47551	-1.92562	29	4	0.00370161	0.00370161
0.275022	-2.30036	2	6	0.142119	0.142119
1.96729	-1.83964	48	420	0.0063776	0.0063776
0.15802	-0.29623	24	39	0.0518882	0.0518882
1.77224	-3.15191	577	417	4.11501E-05	4.11501E-05
0.529693	3.93378	180	142	2.31834E-08	2.31834E-08
2.452	-0.717958	15	80	0.0163994	0.0163994
1.21518	0.648424	18	16	0.0367109	0.0367109
3.66833	2.93613	26	22	0.00623878	0.00623878
0.175043	0.737938	413	1384	7.04389E-08	7.04389E-08
1.63255	1.74923	33	445	3.29503E-05	3.29503E-05
1.87705	2.0788	2357	38	0.00253559	0.00253208
0.529571	1.68198	110	103	0.000936829	0.000936829
1.40524	-0.879463	64	44	0.00736305	0.00736305
0.67401	-3.26653	11	18	0.000667054	0.000667054
3.5397	-4.24116	59	75	0.000680623	0.000680623
0.104183	2.74232	288	661	2.23489E-28	2.23489E-28
0.0507384	-3.64114	29	370	9.33158E-05	9.33158E-05
0.0177964	2.60415	453	1511	5.74045E-157	5.74045E-157
1.88444	-3.40999	422	30	6.99999E-07	6.99999E-07
3.60619	-3.37578	493	13	1.9354E-05	1.9354E-05
3.58243	1.83629	139	701	0.000343641	0.000343641
1.42059	-0.486227	114	1016	0.00117787	0.00117787
0.708232	-2.4225	271	104	2.24334E-06	2.24334E-06
0.93853	-4.01117	19	1	1.07025E-08	1.07025E-08
2.60043	0.0804466	50	89	0.00706861	0.00706861
0.300269	1.84543	61	60	0.000152021	0.000152021
3.49977	-4.15148	11	59	0.00996554	0.00996554
2.32991	0.16959	1	13	0.0552973	0.0552975
2.19076	-0.346479	173	90	0.00361186	0.00361186
3.39229	3.6676	59	275	8.28962E-05	8.28962E-05
0.0167584	-3.0846	45	31	2.72784E-35	2.72784E-35
0.12956	0.622518	614	145	0.000785776	0.000785776
0.905087	-3.03811	2	95	0.118198	0.118201
2.59024	-1.84075	124	24	0.00120046	0.00120046
0.811064	-4.11914	462	96	1.55568E-11	1.55568E-11
1.25305	1.50883	41	493	1.75356E-05	1.75356E-05
0.366996	-0.941975	206	170	0.00126832	0.00126832
0.709084	0.642952	43	5	0.0238151	0.0238151
1.86278	1.90171	285	579	0.000246309	0.000246309
0.281038	-0.374817	88	4	1.91097E-07	1.91097E-07
2.20999	1.4005	5	206	0.000185338	0.000185338
1.68821	-0.483465	72	218	0.00502453	0.00502453
0.151182	-0.221633	2171	5178	0.000168114	0.000168114
2.63997	-1.9192	144	1266	0.00187263	0.00187263
2.16272	-1.41893	4358	183	1.19335E-05	1.1934E-05
0.851297	4.48249	1209	94	0.000577291	0.000577291
0.593238	2.50987	3	2	0.0711339	0.0711339
3.81363	1.7505	5760	2442	0.000107309	0.000107309
1.91243	3.15605	25	561	4.83129E-07	4.83129E-07
3.73146	-0.137323	561	2365	0.000362832	0.000362832
0.372943	-2.02982	133	73	2.04125E-06	2.04125E-06
0.465667	-1.02042	14	426	0.000163132	0.000163132
0.149516	0.247695	2	22	0.000158986	0.000158986
3.23554	0.539384	45	57	0.00799163	0.00799163
1.53429	-3.88392	2	16	0.083185	0.0831896
3.53867	1.70317	3	6	0.046543	0.046543
0.512451	0.924651	8	51	0.000148021	0.000148021
1.80507	-2.0385	9	3	0.0115348	0.0115348
2.94487	-0.471412	55	623	0.00239195	0.00239195
1.61259	1.33271	20	79	0.00210607	0.00210607
1.40486	1.02389	147	5485	1.12992E-06	1.12062E-06
1.37382	0.837217	30	23	0.0227679	0.0227679
0.296228	-0.997112	22	46	0.0407577	0.0407577
0.336926	-3.82979	3778	534	5.19777E-25	5.19777E-25
2.47676	0.684946	405	6	0.00354601	0.00354587
0.206251	0.787252	150	24	0.00414947	0.00414947
0.776752	2.10614	50	22	0.0108844	0.0108844
0.781156	1.6716	2485	3019	3.56874E-05	3.56874E-05
3.00575	1.37575	452	20	0.00715316	0.00715316
0.365695	1.70803	195	4736	3.06055E-17	3.06052E-17
0.479538	-1.08001	20	37	0.034179	0.034179
0.000499955	2.52667	50	499	0	0
2.27323	1.51138	3	74	0.000901432	0.000901432
1.29834	4.04427	29	132	1.33761E-07	1.33761E-07
2.30023	-0.982117	45	406	0.00467117	0.00467117
1.8854	0.579247	132	547	0.000944724	0.000944724
2.40838	2.50281	1521	123	0.00225475	0.00225475
3.57669	-0.811049	5	128	0.0183473	0.0183473
2.94389	1.77342	937	892	0.0003071	0.0003071
2.78885	-1.85487	500	2175	0.00057205	0.00057205
1.41998	3.94086	99	1292	1.31495E-09	1.31495E-09
0.438259	-3.02824	88	413	0.000731325	0.000731325
2.1808	4.2604	1313	190	0.000472204	0.000472204
1.81798	1.09338	243	68	0.00548839	0.00548839
0.0411509	1.49009	125	7	0.000206296	0.000206296
1.31053	0.0545203	33	184	0.00376208	0.00376208
1.33485	2.81392	7	12	0.00187217	0.00187217
0.51378	3.97018	3	71	2.1196E-17	2.1196E-17
2.50581	2.93054	1264	4977	6.24022E-06	6.24022E-06
3.30665	4.5748	244	525	1.77211E-05	1.77211E-05
2.45836	2.38735	3591	2233	8.78542E-05	8.78542E-05
3.37582	-4.09907	30	1373	0.00728594	0.00728602
0.0680527	3.76373	467	607	5.47706E-52	5.47706E-52
1.14204	-1.95451	3	3	0.0703465	0.0703465
0.240447	-3.75626	4	12	0.00144083	0.00144083
2.26911	-1.2256	8	26	0.0417389	0.0417389
2.79666	2.1302	33	99	0.00150666	0.00150666
0.325586	-0.45499	31	259	0.000476795	0.000476795
0.338146	-3.45028	238	188	2.08813E-11	2.08813E-11
1.21823	-2.2049	74	165	0.00318255	0.00318255
3.65117	4.04426	24	8	0.0112976	0.0112976
0.763175	4.44253	11	24	1.09316E-08	1.09316E-08
3.46278	-2.28243	50	1440	0.00373264	0.00373264
0.0743989	-0.706168	374	24	2.71176E-26	2.71176E-26
0.133281	-4.52681	39	15	1.78492E-32	1.78492E-32
2.46736	-3.42768	1679	46	2.71812E-07	2.71812E-07
1.27828	0.0102483	121	46	0.00733871	0.00733871
0.19358	-0.288289	51	299	0.000116903	0.000116903
0.454565	-3.1545	1537	687	4.33873E-11	4.33873E-11
1.57887	0.552597	42	57	0.0103094	0.0103094
1.14983	-3.11486	669	1680	9.62119E-05	9.62119E-05
0.290442	1.10492	235	32	0.00712434	0.00712434
0.35285	1.10809	1273	684	0.0010781	0.0010781
0.697583	2.79476	405	75	0.00318192	0.00318192
1.07963	-1.18128	13	43	0.0367215	0.0367215
3.2	-1.19703	106	15	0.00358149	0.00358149
0.0101925	4.16887	44	14	4.38947E-13	4.43945E-13
2.02948	-3.18301	3	102	0.0837318	0.08374
0.00135517	-2.16465	1085	82	0	0
0.260643	1.7098	64	2929	7.38044E-27	7.37954E-27
3.6403	0.63786	40	252	0.00259386	0.00259386
1.13988	0.993417	409	40	0.00468255	0.00468255
3.39758	3.53951	628	181	0.000710718	0.000710718
0.0267325	-2.85956	18	66	3.10946E-06	3.10946E-06
0.00891802	-1.1278	611	145	3.24235E-92	3.24235E-92
3.9322	-1.70803	17	11	0.0167024	0.0167024
1.96825	-1.33217	2635	1919	0.000128332	0.000128332
0.000733393	-2.79614	708	41	0	0
0.166617	0.390757	8	34	0.000343733	0.000343733
2.51857	0.181023	106	271	0.00256556	0.00256556
0.913425	0.560446	54	104	0.00524608	0.00524608
0.107097	-3.11226	144	819	2.79164E-06	2.79164E-06
3.94548	2.5019	3008	132	0.00150953	0.00150953
3.64983	1.59646	32	81	0.00379274	0.00379274
2.63959	1.65271	25	5	0.0562145	0.0562145
0.322117	3.17857	27	28	1.01321E-07	1.01321E-07
0.223212	-0.721799	201	387	0.00621922	0.00621922
1.34974	2.70049	337	31	0.0115573	0.0115573
0.122396	2.1906	10	10	0.000124901	0.000124901
1.90751	-2.35477	150	73	0.000501011	0.000501011
1.4821	3.22469	2432	4899	1.11726E-06	1.11726E-06
3.45225	-1.1322	2728	104	0.000130059	0.000130058
0.0612352	0.186608	8	11	0.101144	0.101144
2.09984	-1.20516	224	14	0.000508592	0.000508592
3.20273	3.92075	58	5	0.0354155	0.0354155
0.140737	1.60722	68	888	4.95446E-27	4.95446E-27
1.85082	0.0801307	9	25	0.0308495	0.0308495
0.246757	-4.10126	17	146	0.000144022	0.000144022
0.0844644	-1.11749	535	107	1.32656E-19	1.32656E-19
3.00989	3.741	1980	8414	1.64177E-06	1.64177E-06
1.9606	-3.16984	64	3	1.17235E-05	1.17235E-05
1.49158	-1.78182	56	229	0.00689252	0.00689252
3.78363	-4.34435	194	15	2.8521E-05	2.8521E-05
3.67832	-1.32531	126	604	0.0019765	0.0019765
1.40243	0.339679	1921	139	0.000403853	0.000403853
2.49658	-3.48235	65	506	0.00291923	0.00291923
0.899126	-0.0665537	902	135	0.000421328	0.000421328
0.000109031	-1.59471	3686	3951	0	0
2.80062	-0.17403	70	41	0.00837018	0.00837018
0.00236155	-2.42332	1313	101	0	0
3.29215	3.42132	47	959	9.24977E-06	9.24977E-06
1.68236	4.18444	23	14	0.000808075	0.000808075
2.06571	-3.31131	133	3366	0.00216228	0.00216231
2.35875	1.5869	39	136	0.00156712	0.00156712
0.0210888	-4.01642	31	2	3.65202E-48	3.65202E-48
0.312626	1.5563	29	81	2.58242E-06	2.58242E-06
1.76905	2.34762	9	147	2.66216E-05	2.66216E-05
1.19508	1.18012	431	9	0.00222998	0.00222997
0.012547	-1.16738	122	737	2.33078E-06	2.33078E-06
3.01559	-4.55206	232	80	2.10461E-05	2.10461E-05
0.0106878	3.48321	76	214	2.34988E-173	2.34988E-173
0.357304	-1.35799	2	8	0.240772	0.240772
0.204682	2.03175	658	223	0.000617868	0.000617868
2.36302	0.499231	286	143	0.00269442	0.00269442
2.05523	3.8568	9	57	1.7752E-05	1.7752E-05
0.00661221	-3.96166	1326	432	0	0
3.69042	0.525967	91	436	0.00152066	0.00152066
2.71481	-0.443619	639	190	0.000996266	0.000996266
2.62171	2.82122	750	14	0.0135677	0.0135676
1.84004	-4.42747	980	2869	1.90095E-05	1.90095E-05
2.89446	-3.28725	782	90	1.73776E-05	1.73776E-05
0.520049	3.58176	36	54	1.89577E-08	1.89577E-08
1.67117	-2.15405	895	370	7.48725E-05	7.48725E-05
1.22878	3.41023	3	3	0.0105174	0.0105174
0.144955	-2.03521	13	61	0.0481678	0.0481678
3.74422	-2.9586	456	1412	0.000382894	0.000382894
1.36956	-0.0952634	3197	810	0.000240083	0.000240083
0.0649361	-3.64533	56	117	2.08567E-21	2.08567E-21
0.952532	1.66695	805	2898	6.8142E-06	6.8142E-06
2.34397	1.0681	41	13	0.0257708	0.0257708
1.07966	-2.98808	59	336	0.00376096	0.00376096
0.546463	2.37215	2	3	0.0176061	0.0176061
2.96286	0.110046	337	349	0.00134572	0.00134572
1.1143	-2.75605	153	77	3.89081E-05	3.89081E-05
3.49488	2.98201	43	3	0.0716966	0.0716975
0.210385	-3.37317	1690	225	2.0708E-32	2.0708E-32
2.40768	4.09791	50	11	0.00769411	0.00769411
2.61045	1.53259	242	49	0.0060249	0.0060249
1.01684	-4.24316	57	50	1.66796E-06	1.66796E-06
0.651732	-0.760397	162	233	0.00455728	0.00455728
1.71135	1.48922	4944	84	0.000509395	0.000524117
3.53042	-1.49428	22	18	0.0142035	0.0142035
0.707002	-1.82998	254	213	0.000244438	0.000244438
2.12876	4.42636	86	84	7.08931E-05	7.08931E-05
1.68929	-1.26766	9	72	0.0301903	0.0301903
1.24427	-4.32429	40	28	4.70795E-06	4.70795E-06
2.79982	2.34971	241	145	0.00143903	0.00143903
0.220888	1.28816	82	803	1.47674E-14	1.47674E-14
0.917653	3.84126	22	69	6.63732E-08	6.63732E-08
0.307416	-1.97134	3	4	0.0576341	0.0576341
0.00618293	-0.530672	123	127	0.000163298	0.000163298
2.94438	0.609095	114	12	0.0132538	0.0132538
3.06365	-0.582577	64	2	0.00842289	0.00842306
0.0900076	-0.22933	85	669	1.15568E-09	1.15568E-09
0.161143	-2.94534	6	107	0.119344	0.119344
0.161571	0.789495	3142	692	0.000349666	0.000349666
1.32401	-1.18192	5	29	0.0651685	0.0651685
0.40836	1.59052	18	15	0.0105886	0.0105886
0.403587	2.77796	160	638	3.43046E-12	3.43046E-12
0.21823	-3.09791	1605	5860	4.06074E-07	4.06074E-07
3.62447	-1.05503	51	27	0.00795515	0.00795515
3.26955	1.88856	5550	1624	0.000164294	0.000164294
1.62679	-0.966703	20	32	0.0231241	0.0231241
3.18912	-2.1807	106	113	0.00202597	0.00202597
1.3779	-4.38688	158	129	2.4584E-06	2.4584E-06
0.000814122	-4.1311	29	44	5.55413E-33	5.55413E-33
0.0432353	2.20191	8	18	5.74266E-11	5.74266E-11
0.407218	4.27917	35	10	2.3938E-05	2.3938E-05
0.00501142	-0.968981	6	234	3.04732E-22	3.04732E-22
3.01583	-0.0695622	820	116	0.00114302	0.00114302
1.43452	2.55132	59	1668	3.59282E-08	3.59282E-08
0.765668	3.08234	289	2086	1.06599E-10	1.06599E-10
1.44722	0.511306	709	81	0.00176103	0.00176103
0.996473	2.97333	59	5	0.0723921	0.0723921
1.53229	0.368534	69	373	0.001396	0.001396
0.120729	1.4495	3555	81	1.55367E-11	1.55226E-11
3.49316	3.15499	25	84	0.000734088	0.000734088
0.471206	2.93947	13	49	3.72708E-09	3.72708E-09
1.78407	-0.70955	1355	392	0.000338492	0.000338492
2.87984	4.53589	2238	53	0.00407025	0.00407056
0.201491	-3.88725	2629	1274	1.6718E-26	1.6718E-26
0.0138497	-1.89179	244	325	1.16251E-28	1.16251E-28
0.137863	0.383565	195	5	1.17153E-10	1.17153E-10
0.207849	-0.798259	6074	469	4.27617E-15	4.27616E-15
0.694554	1.97722	290	276	0.000238433	0.000238433
0.0985974	-3.62674	2031	4007	9.7168E-23	9.7168E-23
1.65747	-4.3208	118	664	0.000412742	0.000412742
0.569006	-2.45464	166	835	0.00206718	0.00206718
0.728832	0.563578	593	11	2.56952E-05	2.56952E-05
3.01058	-2.32239	1478	28	1.21808E-05	1.21812E-05
0.913078	2.87912	144	1686	5.79564E-10	5.79564E-10
1.75849	-1.73615	8	63	0.0391923	0.0391923
1.23912	-2.7997	1346	146	1.08873E-07	1.08873E-07
2.78773	-0.807893	9	17	0.0392252	0.0392252
1.99633	-1.69549	10	208	0.0182584	0.0182584
0.744721	-3.06854	86	479	0.00190176	0.00190176
0.0816766	4.0535	12	11	3.12912E-12	3.12912E-12
1.9601	-1.6119	909	811	0.000311028	0.000311028
0.80053	-3.78734	225	4	1.12214E-15	1.12214E-15
0.566028	2.37115	1044	1555	9.85279E-07	9.85279E-07
0.870545	1.92563	737	171	0.002716	0.002716
0.747281	-2.21827	30	5	1.50814E-05	1.50814E-05
1.27064	-2.80464	36	123	0.00490243	0.00490243
3.68414	-2.77938	194	685	0.00100609	0.00100609
0.225571	4.59945	10	3	0.000610055	0.000609966
0.903536	2.6339	1158	3134	3.4135E-07	3.4135E-07
3.21413	-1.30599	7	120	0.0224468	0.0224468
1.34839	1.66262	38	478	1.56057E-05	1.56057E-05
1.31367	0.165942	136	200	0.00381383	0.00381383
0.217451	-4.51382	244	1111	7.32662E-12	7.32662E-12
0.158651	-1.01297	29	27	0.00464015	0.00464015
0.51295	4.10154	83	10	0.00291322	0.00291322
0.0274247	-4.11358	244	46	3.92705E-163	3.92705E-163
0.0552375	-4.2818	234	56	1.47532E-99	1.47532E-99
3.94023	4.53185	38	222	4.11655E-05	4.11655E-05
0.103616	3.37095	118	142	1.54728E-25	1.54728E-25
0.563091	1.01265	113	512	2.18051E-05	2.18051E-05
2.5463	-4.48185	6	227	0.0370418	0.037041
0.000348129	-1.64645	20	255	5.53162E-06	5.53162E-06
1.54912	0.80446	11	71	0.0035554	0.0035554
1.57316	4.42194	41	23	0.00024094	0.00024094
0.000779086	-4.04759	51	546	1.95009E-20	1.95009E-20
3.43072	0.17871	919	119	0.00122868	0.00122868
0.100573	4.2793	725	16	0.0346548	0.0346519
3.72892	0.193828	54	79	0.00613602	0.00613602
1.17681	0.965679	72	724	6.11961E-05	6.11961E-05
1.224	-4.54151	182	61	2.22995E-08	2.22995E-08
